uid,domainID,siteID,namedLocation,collectDate,sortDate,qcSortDate,sampleID,sampleCode,mixedInvertVialID,mixedInvertVialCode,chironomidVialID,chironomidVialCode,oligochaeteVialID,oligochaeteVialCode,largeInvertVialID,largeInvertVialCode,testProtocolVersion,primaryMatrix,preRinseVolume,postRinseVolume,subsamplePercent,qcSortingEfficacy,qcIterationCount,qcPercentSimilarity,laboratoryName,sortedBy,qcSortedBy,benchRemarks,dataQF,qcEnumerationDifference,qcTaxonomicDifference
"2080c9fc-5085-49b4-bc36-e90117393f54","D07","WALK","WALK.AOS.reach","2015-07-08T16:00Z","2015-10-06","2015-10-08","STWA.20150708.SURBER.1",,"STWA.20150708.SURBER.1",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","coarse organic",0.08,0.08,100.0,100.0,1,,"EcoAnalysts Inc.","nvO9dEMKYf3II1WEm9Fr0w==","FDBFIfBktdl+XmYpYZQBzg==","STREON Sample","legacyData",,
"82ba8a9a-cc40-4d82-b408-7e119308281e","D07","WALK","WALK.AOS.reach","2015-07-08T16:00Z","2015-10-08","2015-10-08","STWA.20150708.SNAG.3",,"STWA.20150708.SNAG.3",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","coarse organic",0.01,0.01,100.0,100.0,1,,"EcoAnalysts Inc.","nvO9dEMKYf3II1WEm9Fr0w==","FDBFIfBktdl+XmYpYZQBzg==","STREON Sample","legacyData",,
"0fb9fd3c-8ccb-49bc-b284-04eccd76dfd4","D07","WALK","WALK.AOS.reach","2015-07-08T16:00Z","2015-10-06","2015-10-08","STWA.20150708.SURBER.2",,"STWA.20150708.SURBER.2",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","coarse organic",0.28,0.28,37.5,100.0,1,,"EcoAnalysts Inc.","nvO9dEMKYf3II1WEm9Fr0w==","FDBFIfBktdl+XmYpYZQBzg==","STREON Sample","legacyData",,
"0ea0c106-00bf-4b05-9f5d-70f9a77c00e5","D07","WALK","WALK.AOS.reach","2015-07-08T16:00Z","2015-10-07","2015-10-08","STWA.20150708.SURBER.3",,"STWA.20150708.SURBER.3",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","coarse organic",0.47,0.45,17.7,100.0,1,,"EcoAnalysts Inc.","nvO9dEMKYf3II1WEm9Fr0w==","FDBFIfBktdl+XmYpYZQBzg==","STREON Sample","legacyData",,
"43361c08-a7ce-410b-8cc5-9bc4f187b918","D07","WALK","WALK.AOS.reach","2015-07-08T16:00Z","2015-10-08","2015-10-08","STWA.20150708.SNAG.2",,"STWA.20150708.SNAG.2",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","coarse organic",0.50,0.50,25.0,100.0,1,,"EcoAnalysts Inc.","nvO9dEMKYf3II1WEm9Fr0w==","FDBFIfBktdl+XmYpYZQBzg==","STREON Sample","legacyData",,
"f1847929-b6cb-4197-b5f7-41aa6939a7bc","D07","WALK","WALK.AOS.reach","2015-07-08T16:00Z","2015-10-07","2015-10-08","STWA.20150708.SNAG.1",,"STWA.20150708.SNAG.1",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","coarse organic",0.25,0.25,33.3,100.0,1,,"EcoAnalysts Inc.","nvO9dEMKYf3II1WEm9Fr0w==","FDBFIfBktdl+XmYpYZQBzg==","STREON Sample","legacyData",,
"4457ce10-c927-4cab-b4e9-b9c91cfde5f9","D07","WALK","WALK.AOS.reach","2015-07-08T16:00Z","2015-10-07","2015-10-08","STWA.20150708.SURBER.4",,"STWA.20150708.SURBER.4",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","fine organic",,,100.0,100.0,1,,"EcoAnalysts Inc.","nvO9dEMKYf3II1WEm9Fr0w==","FDBFIfBktdl+XmYpYZQBzg==","STREON Sample","legacyData",,
"9aff8bb7-f156-4ef1-99b9-6b4495ff8343","D07","WALK","WALK.AOS.reach","2015-07-08T16:00Z","2015-10-07","2015-10-08","STWA.20150708.SURBER.5",,"STWA.20150708.SURBER.5",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","fine organic",,,100.0,100.0,1,,"EcoAnalysts Inc.","nvO9dEMKYf3II1WEm9Fr0w==","FDBFIfBktdl+XmYpYZQBzg==","STREON Sample","legacyData",,
"983b1f94-a28e-4fc7-b185-089efd0c9898","D07","WALK","WALK.AOS.reach","2015-07-08T16:10Z","2015-10-01","2015-10-07","WALK.20150708.SURBER.2",,"WALK.20150708.SURBER.2",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","other (specified in remarks)",0.09,0.08,100.0,100.0,1,,"EcoAnalysts Inc.","nvO9dEMKYf3II1WEm9Fr0w==","FDBFIfBktdl+XmYpYZQBzg==","vegetation","legacyData",,
"e3aa30f5-d9ea-44e4-8042-3c93a30af957","D07","WALK","WALK.AOS.reach","2015-07-08T16:10Z","2015-10-05","2015-10-07","WALK.20150708.SURBER.8",,"WALK.20150708.SURBER.8",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","coarse organic",0.15,0.09,100.0,100.0,1,,"EcoAnalysts Inc.","nvO9dEMKYf3II1WEm9Fr0w==","FDBFIfBktdl+XmYpYZQBzg==",,"legacyData",,
"e153dd0a-1d05-47d3-b508-ed69f933ef4c","D07","WALK","WALK.AOS.reach","2015-07-08T16:10Z","2015-10-04","2015-10-07","WALK.20150708.SURBER.5",,"WALK.20150708.SURBER.5",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","coarse organic",0.28,0.25,29.2,100.0,1,,"EcoAnalysts Inc.","nvO9dEMKYf3II1WEm9Fr0w==","FDBFIfBktdl+XmYpYZQBzg==",,"legacyData",,
"1153a4f9-d15c-4421-afd6-3e6b586337a4","D07","WALK","WALK.AOS.reach","2015-07-08T16:10Z","2015-10-05","2015-10-07","WALK.20150708.SURBER.7",,"WALK.20150708.SURBER.7",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","coarse organic",0.75,0.55,18.8,100.0,1,,"EcoAnalysts Inc.","nvO9dEMKYf3II1WEm9Fr0w==","FDBFIfBktdl+XmYpYZQBzg==",,"legacyData",,
"5033ff22-7c50-40ae-a0e6-4a3bde54390d","D07","WALK","WALK.AOS.reach","2015-07-08T16:10Z","2015-10-03","2015-10-07","WALK.20150708.SURBER.4",,"WALK.20150708.SURBER.4",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","coarse organic",0.15,0.13,62.5,100.0,1,,"EcoAnalysts Inc.","nvO9dEMKYf3II1WEm9Fr0w==","FDBFIfBktdl+XmYpYZQBzg==",,"legacyData",,
"fc5be760-b48a-4680-8955-4fb43f83ac37","D07","WALK","WALK.AOS.reach","2015-07-08T16:10Z","2015-10-04","2015-10-07","WALK.20150708.SURBER.6",,"WALK.20150708.SURBER.6",,,,,,,,"ECOANALYSTS_Macroinvertebrate_Identification_Revision4","coarse organic",0.19,0.13,100.0,100.0,1,,"EcoAnalysts Inc.","nvO9dEMKYf3II1WEm9Fr0w==","FDBFIfBktdl+XmYpYZQBzg==",,"legacyData",,
