site_id,date,taxon_id,scientific_name,fish_total_length,n,total_fish_measured,increased,total_collected,area_m2,no,Species,Family,correction,total_fish_per_size,no_m2,species_a,species_b,BodyShapeI,family_a,family_b,a,b,fish_total_length_cm,grams
ARIK,2016-04-12,CYPSP3,Cyprinidae sp.,47,1,14,no,11,603.95825,11,NA,NA,0.7857142857142857,11,0.01821317947060082,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,4.7,0.8874187748999343
ARIK,2016-04-12,CYPSP3,Cyprinidae sp.,49,1,14,no,11,603.95825,11,NA,NA,0.7857142857142857,11,0.01821317947060082,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,4.9,1.007902868552632
ARIK,2016-04-12,CYPSP3,Cyprinidae sp.,50,3,14,no,11,603.95825,11,NA,NA,0.7857142857142857,11,0.01821317947060082,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,5,1.072069695826058
ARIK,2016-04-12,CYPSP3,Cyprinidae sp.,51,2,14,no,11,603.95825,11,NA,NA,0.7857142857142857,11,0.01821317947060082,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,5.1,1.1389287204476157
ARIK,2016-04-12,CYPSP3,Cyprinidae sp.,55,2,14,no,11,603.95825,11,NA,NA,0.7857142857142857,11,0.01821317947060082,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,5.5,1.4344244298929685
ARIK,2016-04-12,CYPSP3,Cyprinidae sp.,56,1,14,no,11,603.95825,11,NA,NA,0.7857142857142857,11,0.01821317947060082,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,5.6,1.5155981945409716
ARIK,2016-04-12,CYPSP3,Cyprinidae sp.,60,1,14,no,11,603.95825,11,NA,NA,0.7857142857142857,11,0.01821317947060082,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,6,1.871206539885471
ARIK,2016-04-12,CYPSP3,Cyprinidae sp.,63,1,14,no,11,603.95825,11,NA,NA,0.7857142857142857,11,0.01821317947060082,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,6.3,2.1719760663638996
ARIK,2016-04-12,CYPSP3,Cyprinidae sp.,66,1,14,no,11,603.95825,11,NA,NA,0.7857142857142857,11,0.01821317947060082,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,6.6,2.5036659320167027
ARIK,2016-04-12,CYPSP3,Cyprinidae sp.,71,1,14,no,11,603.95825,11,NA,NA,0.7857142857142857,11,0.01821317947060082,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,7.1,3.129420419998613
ARIK,2016-04-12,ETHSP,Etheostoma sp.,52,1,1,no,1,603.95825,1,NA,NA,1,1,0.0016557435882364384,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,5.2,1.2085367786228836
ARIK,2016-04-12,LEPCYA,Lepomis cyanellus,96,2,5,no,1,603.95825,1,Lepomis cyanellus,Centrarchidae,0.2,1,0.0016557435882364384,0.0102,3.204,NA,0.0121,3.093,0.0102,3.204,9.6,14.315192828185646
