uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,geodeticDatum,elevation,elevationUncertainty,aquaticSiteType,collectDate,eventID,boutNumber,sampleID,sampleCode,geneticSampleID,geneticSampleCode,samplingProtocolVersion,samplingImpractical,biophysicalCriteria,habitatType,samplerType,sampleNumber,substratumSizeClass,benthicArea,ponarDepth,snagLength,snagDiameter,dnaSnagLength,dnaSnagDiameter,remarks,recordedBy,collectedBy,dataQF
"3eff1270-9d27-4352-a582-7166c3656b49","D04","GUIL","GUIL.AOS.reach",18.174060,-66.798680,1000.0,"WGS84",550.7,1000.0,"stream","2015-05-20T14:00Z","GUIL.20150520",1,,,,,"NEON.DOC.000690vD","other",,"pool",,5,,,,,,,,"pools not sampled during first bout","sparker@battelleecology.org",,"legacyData"
"e645877b-d13f-4fbf-8590-4e4e6a5369a3","D04","GUIL","GUIL.AOS.reach",18.174060,-66.798680,1000.0,"WGS84",550.7,1000.0,"stream","2015-05-20T14:00Z","GUIL.20150520",1,,,,,"NEON.DOC.000690vD","other",,"pool",,1,,,,,,,,"pools not sampled during first bout","sparker@battelleecology.org",,"legacyData"
"87e53a29-da21-4e13-aba2-ee7a2fd6ff87","D04","GUIL","GUIL.AOS.reach",18.174060,-66.798680,1000.0,"WGS84",550.7,1000.0,"stream","2015-05-20T14:00Z","GUIL.20150520",1,,,,,"NEON.DOC.000690vD","other",,"pool",,3,,,,,,,,"pools not sampled during first bout","sparker@battelleecology.org",,"legacyData"
"bb5badd1-428c-48c5-adbf-afb4adbd2506","D04","GUIL","GUIL.AOS.reach",18.174060,-66.798680,1000.0,"WGS84",550.7,1000.0,"stream","2015-05-20T14:00Z","GUIL.20150520",1,,,,,"NEON.DOC.000690vD","other",,"pool",,2,,,,,,,,"pools not sampled during first bout","sparker@battelleecology.org",,"legacyData"
"dc61be5b-dcd3-4030-b5a2-555d52a67f70","D04","GUIL","GUIL.AOS.reach",18.174060,-66.798680,1000.0,"WGS84",550.7,1000.0,"stream","2015-05-20T14:00Z","GUIL.20150520",1,,,,,"NEON.DOC.000690vD","other",,"pool",,4,,,,,,,,"pools not sampled during first bout","sparker@battelleecology.org",,"legacyData"
"ca98eb64-1534-41f7-a940-fea2751889a8","D04","GUIL","GUIL.AOS.reach",18.174060,-66.798680,1000.0,"WGS84",550.7,1000.0,"stream","2015-05-20T14:00Z","GUIL.20150520",1,"GUIL.20150520.SURBER.2",,,,"NEON.DOC.000690vD",,,"riffle","surber",2,"pebble",0.093,,,,,,,"mviggiano@neoninc.org","mviggiano@neoninc.org",
"7d7f03b3-e685-49ef-abb2-cbdc8d8bbb87","D04","GUIL","GUIL.AOS.reach",18.174060,-66.798680,1000.0,"WGS84",550.7,1000.0,"stream","2015-05-20T14:00Z","GUIL.20150520",1,"GUIL.20150520.SURBER.3",,,,"NEON.DOC.000690vD",,,"riffle","surber",3,"cobble",0.093,,,,,,,"mviggiano@neoninc.org","mviggiano@neoninc.org",
"40209c69-fe4b-4eb3-aa59-be1247cd4627","D04","GUIL","GUIL.AOS.reach",18.174060,-66.798680,1000.0,"WGS84",550.7,1000.0,"stream","2015-05-20T14:00Z","GUIL.20150520",1,"GUIL.20150520.SURBER.5",,,,"NEON.DOC.000690vD",,,"riffle","surber",5,"cobble",0.093,,,,,,,"mviggiano@neoninc.org","mviggiano@neoninc.org",
"29f3ec01-0c57-4289-8d41-0b57cf5bd10c","D04","GUIL","GUIL.AOS.reach",18.174060,-66.798680,1000.0,"WGS84",550.7,1000.0,"stream","2015-05-20T14:00Z","GUIL.20150520",1,"GUIL.20150520.SURBER.1",,,,"NEON.DOC.000690vD",,,"riffle","surber",1,"boulder",0.093,,,,,,,"mviggiano@neoninc.org","mviggiano@neoninc.org",
"a19c6e6a-fd19-4ebf-9e0f-5b3c29f50c59","D04","GUIL","GUIL.AOS.reach",18.174060,-66.798680,1000.0,"WGS84",550.7,1000.0,"stream","2015-05-20T14:00Z","GUIL.20150520",1,"GUIL.20150520.SURBER.4",,,,"NEON.DOC.000690vD",,,"riffle","surber",4,"cobble",0.093,,,,,,,"mviggiano@neoninc.org","mviggiano@neoninc.org",
