uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,geodeticDatum,elevation,elevationUncertainty,aquaticSiteType,collectDate,eventID,boutNumber,sampleID,sampleCode,geneticSampleID,geneticSampleCode,samplingProtocolVersion,samplingImpractical,biophysicalCriteria,habitatType,samplerType,sampleNumber,substratumSizeClass,benthicArea,ponarDepth,snagLength,snagDiameter,dnaSnagLength,dnaSnagDiameter,remarks,recordedBy,collectedBy,dataQF
"14748508-b184-47bb-8ecf-ca3cded1c6b8","D09","PRLA","PRLA.AOS.littoral1",47.159093,-99.114228,1.1,"WGS84",562.4,1.0,"lake","2018-07-09T14:39Z","PRLA.20180709",2,"PRLA.20180709.PONAR.1","A00000016142",,,"NEON.DOC.003046vC",,,"pelagic","petitePonar",1,,0.023,0.9,,,,,"Sand and silt","jeldridge@neoninc.org","llocke@battelleecology.org",
"d02d3d21-f5ef-4c08-9aab-243e0c0066df","D09","PRLA","PRLA.AOS.riparian.point.01",47.160410,-99.120862,0.1,"WGS84",564.2,0.1,"lake","2018-07-09T14:39Z","PRLA.20180709",2,"PRLA.20180709.BENTHICSWEEP.1","A00000016151",,,"NEON.DOC.003046vC",,,"littoral","benthicSweep",1,,0.305,,,,,,"Swept through moderate Sago pondweed","jeldridge@neoninc.org","llocke@battelleecology.org",
"3ab31a3f-10a1-4e3a-9053-04fe112213f0","D09","PRLA","PRLA.AOS.riparian.point.09",47.158039,-99.119199,0.1,"WGS84",564.7,0.1,"lake","2018-07-09T14:39Z","PRLA.20180709",2,"PRLA.20180709.BENTHICSWEEP.9","A00000016168",,,"NEON.DOC.003046vC",,,"littoral","benthicSweep",9,,0.305,,,,,,"Swept through moderate Sago pondweed","jeldridge@neoninc.org","llocke@battelleecology.org",
"56c76840-475a-40db-a797-1a469e3fa6ef","D09","PRLA","PRLA.AOS.riparian.point.05",47.161979,-99.113416,0.1,"WGS84",564.3,0.1,"lake","2018-07-09T14:39Z","PRLA.20180709",2,"PRLA.20180709.BENTHICSWEEP.5","A00000016152","PRLA.20180709.BENTHICSWEEP.5.DNA","A00000016127","NEON.DOC.003046vC",,,"littoral","benthicSweep",5,,0.305,,,,,,"Swept through dense Sago pondweed and milfoil","jeldridge@neoninc.org","llocke@battelleecology.org",
"fd97f42e-4800-4136-83e1-589dd192f58e","D09","PRLA","PRLA.AOS.buoy.c0",47.159718,-99.118723,10.0,"WGS84",561.0,10.0,"lake","2018-07-09T14:39Z","PRLA.20180709",2,"PRLA.20180709.PONAR.3","A00000016109",,,"NEON.DOC.003046vC",,,"pelagic","petitePonar",3,,0.023,2.7,,,,,"Silty with organic debris; strong smell","jeldridge@neoninc.org","llocke@battelleecology.org",
"0b80e93b-ae7d-4d2e-8194-dba6e5ef49db","D09","PRLA","PRLA.AOS.riparian.point.07",47.158533,-99.114713,0.1,"WGS84",564.6,0.1,"lake","2018-07-09T14:39Z","PRLA.20180709",2,"PRLA.20180709.BENTHICSWEEP.7","A00000016126","PRLA.20180709.BENTHICSWEEP.7.DNA","A00000016166","NEON.DOC.003046vC",,,"littoral","benthicSweep",7,,0.305,,,,,,"Swept through moderate Sago pondweed","jeldridge@neoninc.org","llocke@battelleecology.org",
"aa66f3c1-03b0-426f-8b23-24d4176ba389","D09","PRLA","PRLA.AOS.riparian.point.03",47.161713,-99.115755,0.1,"WGS84",564.4,0.1,"lake","2018-07-09T14:39Z","PRLA.20180709",2,"PRLA.20180709.BENTHICSWEEP.3","A00000016150","PRLA.20180709.BENTHICSWEEP.3.DNA","A00000016164","NEON.DOC.003046vC",,,"littoral","benthicSweep",3,,0.305,,,,,,"Swept through dense Sago pondweed and milfoil","jeldridge@neoninc.org","llocke@battelleecology.org",
"0aaa1a70-fb37-45db-a8a4-1155385528e8","D09","PRLA","PRLA.AOS.littoral2",47.160850,-99.120215,1.1,"WGS84",562.3,1.0,"lake","2018-07-09T14:39Z","PRLA.20180709",2,"PRLA.20180709.PONAR.2","A00000016125",,,"NEON.DOC.003046vC",,,"pelagic","petitePonar",2,,0.023,1.0,,,,,"Sand; pebbles; silt; organic material","jeldridge@neoninc.org","llocke@battelleecology.org",
"c58e9367-09fc-481e-b99b-d22bf270c5f1","D09","PRLA","PRLA.AOS.reach",47.159476,-99.118832,1000.0,"WGS84",565.0,1000.0,"lake","2018-07-09T17:00Z","PRLA.20180709",2,"PRLA.20180709.BRYOZOAN.P8",,,,"NEON.DOC.003046vC",,,"littoral","grab",8,"large woody debris",,,,,,,"collected during aquatic plant sampling","sparker@battelleecology.org","jeldridge@battelleecology.org",
"8db85b7c-3b3a-4a86-9170-e36f32e98a5a","D09","PRLA","PRLA.AOS.riparian.point.02",47.161496,-99.118068,0.1,"WGS84",564.5,0.1,"lake","2018-07-18T17:00Z","PRLA.20180709",2,"PRLA.20180718.BRYOZOAN.R2",,,,"NEON.DOC.003046vC",,,"littoral","grab",2,"large woody debris",,,,,,,"collected as a separate grab sample for identification","sparker@battelleecology.org","jeldridge@battelleecology.org",
